date;sigma;ret;retSD;VolumeExch;AdrActCnt;DiffMean;FeeMeanUSD;HashRate;IssContPctAnn;IssTotUSD;NVTAdj;PriceBTC;PriceUSD;SplyCur;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;GoogleTrends;GoogleTrendsCrypto;ExchangeRatio;USDEUR;VIX;Gold;Wiki;SP
19.Jan.16;0,011697687;-0,017936298;-1,533319986;46819800;425484;1,13354E+11;0,079064443;749438,0833;8,036287762;1257387,736;36,18875184;1;378,161725;15101811,13;428554;417306,7698;157809447,9;0,22874679;0,047142652;0,296685659;0;26,049999;-0,001466948;10285;-0,003888609
20.Jan.16;0,058487845;0,101315372;1,732246624;121720000;623972;1,13354E+11;0,094428114;856500,6666;9,182018442;1598367,112;27,2676055;1;420,6229242;15105611,13;534659;553976,444;233015191,8;0,232889588;0,050101375;0,522369375;0,000131045;27,59;0,015658035;9594;-0,009021587
21.Jan.16;0,024553447;-0,022582266;-0,919718763;68338000;511702;1,13354E+11;0,092389641;771977,5745;8,274022174;1401847,224;30,97438189;1;409,2984597;15109036,13;512253;487791,3686;199652255,8;0,189743922;0,037522726;0,342285138;0;26,690001;-0,007252321;9741;0,004037052
22.Jan.16;0,046613697;-0,068844708;-1,476920152;91546600;500516;1,13354E+11;0,080502874;991737,614;10,62630619;1676604,421;26,97051204;1;381,0464594;15113436,13;501366;560368,8989;213526584,9;0,229634974;0,027681273;0,42873631;9,75926E-05;22,34;-0,001730183;8986;0,015591046
23.Jan.16;0,02136803;0,013144412;0,615143829;56247400;466284;1,13354E+11;0,077938093;1008642,232;10,80423734;1729008,447;35,38374777;1;386,3706026;15117911,13;501908;427255,7908;165079077,3;0,19105998;0,02605015;0,340730036;0;22,34;0;6951;0
24.Jan.16;0,021938527;0,037599079;1,713837929;54824800;492811;1,13354E+11;0,080879046;963563,25;10,31844858;1724735,611;31,12373739;1;403,4469267;15122186,13;530774;485873,0797;196024000,7;0,17514372;0,033177611;0,279684119;0;22,34;0;7644;0
25.Jan.16;0,018208611;-0,026674965;-1,464964311;59062400;528904;1,13354E+11;0,081058486;912849,3947;9,772755013;1587543,694;24,2708557;1;391,9860973;15126236,13;543209;623226,3222;244296053,8;0,223223058;0,040255845;0,241765674;0;24,15;0,008169238;8952;-0,015436321
26.Jan.16;0,012896238;0,00038258;0,029666005;58147000;528008;1,16694E+11;0,079777153;928141,0028;9,649551977;1564571,741;29,13338221;1;391,1429351;15130236,13;533533;519343,6184;203137587,2;0,161989328;0,038844839;0,286244416;-6,54173E-05;22,5;0,013914673;8795;0,013134637
27.Jan.16;0,00814783;0,006426153;0,78869503;47424400;531444;1,20033E+11;0,085619552;924867,9079;9,345609977;1529181,68;24,0259971;1;394,6275304;15134111,13;523454;629905,6423;248578108;0,204214373;0,064972908;0,19078269;8,74409E-05;23,110001;-0,005004926;10330;-0,010339627
28.Jan.16;0,016132958;-0,03833132;-2,375963611;59247900;513308;1,20033E+11;0,078699509;871165,9003;8,800839095;1382988,634;25,04911562;1;378,9009956;15137761,13;515432;604323,177;228978653,4;0,20507012;0,047544632;0,258748574;0,000360352;22,42;-0,000448089;10867;0,004308504
29.Jan.16;0,035695068;-0,001685142;-0,047209384;86125296;529268;1,20033E+11;0,079612418;1008404,364;10,18443014;1601274,978;22,71014573;1;378,9999948;15141986,13;505629;666749,8444;252698187,6;0,200629197;0,032487159;0,340822769;0;20,200001;0,000716846;9933;0,024120682
30.Jan.16;0,008212792;-0,001584954;-0,192986003;30284400;490429;1,20033E+11;0,075473762;1115808,379;11,26568413;1763703,492;33,93098671;1;377,2627791;15146661,13;524719;446396,1293;168408644,3;0,174683409;0,016826717;0,179826874;0;20,200001;0;7305;0
31.Jan.16;0,017584183;-0,025487954;-1,449481817;37894300;484082;1,20033E+11;0,072068764;1080007,041;10,90096172;1657696,136;36,65419644;1;366,3416876;15151186,13;503602;413354,7481;151429076;0,141995145;0,038198128;0,250244544;0;20,200001;0;6889;0
01.Feb.16;0,018131645;0,009994561;0,551221961;51656700;616260;1,20033E+11;0,095159354;960669,2463;9,69386033;1494174,326;16,97798167;1;371,2234351;15155211,13;508505;892639,1502;331368571,6;0,204707121;0,04861245;0,155888954;-3,23293E-05;19,98;0,010248274;8159;0,001258926
02.Feb.16;0,004977634;0,004094363;0,822552049;40378700;675786;1,20033E+11;0,088686205;1074040,151;10,83463917;1678174,34;19,06118428;1;372,9276312;15159711,13;593445;795318,429;296596217,8;0,220163069;0,034774557;0,136140307;-0,000153238;21,98;-0,000532104;8575;-0,016794332
03.Feb.16;0,010532274;-0,012624395;-1,198639058;45933400;542654;1,20033E+11;0,086571604;1068073,261;10,77126715;1647239,475;28,01729948;1;368,0982066;15164186,13;446560;541243,6749;199230826,1;0,179254082;0,045090422;0,230553679;0;21,65;0,012342571;8334;0,00285894
04.Feb.16;0,024547866;0,051132545;2,082973132;69285504;459997;1,20033E+11;0,074057141;1002437,474;10,10654651;1636836,941;24,27473665;1;389,7230812;15168386,13;478151;624863,0564;243523555,7;0,212895406;0,046476814;0,284512534;-8,92574E-05;21,84;0,014180933;8405;0,001975376
05.Feb.16;0,009318883;-0,006061015;-0,650401494;43825000;503467;1,20033E+11;0,073419959;1121775,269;11,30620353;1806672,546;23,34538233;1;384,398414;15173086,13;544083;649939,5007;249835713,2;0,204214373;0,058717761;0,175415274;0;23,379999;0,000172756;7286;-0,017410909
06.Feb.16;0,02085709;-0,026393533;-1,265446611;49249300;497975;1,20033E+11;0,067079795;1193377,946;12,02391385;1873157,778;29,68757923;1;374,6315555;15178086,13;611004;511260,4842;191534310,5;0,201977693;0,020206547;0,257130432;0;23,379999;0;6576;0
07.Feb.16;0,011169953;0,000292114;0,026151788;37076300;516141;1,41106E+11;0,069036317;1234537,966;10,57797772;1650677,237;33,39010438;1;375,1539176;15182486,13;649462;454700,1698;170582550;0,199248264;0,028680735;0,217351071;0;23,379999;0;7257;0
08.Feb.16;0,011007846;-0,008824253;-0,80163307;47671100;479473;1,44116E+11;0,069579434;1060281,987;8,892950397;1372013,096;28,43418397;1;370,8143503;15186186,13;557241;534082,0103;198045273,7;0,195630652;0,049033557;0,240708092;-0,000178539;26;0,034048371;7862;-0,010631518
09.Feb.16;0,006965218;0,006965136;0,999988234;55318500;515267;1,44116E+11;0,06770327;1260875,877;10,57233727;1643451,097;23,14497836;1;373,5116129;15190586,13;561547;656323,1945;245144334,9;0,175208596;0,057742913;0,225656856;-0,00010098;26,540001;0,000667612;8240;0,002026661
10.Feb.16;0,015599894;0,014515958;0,930516455;85130896;487454;1,44116E+11;0,072530029;1174907,067;9,848837856;1554238,708;19,97075722;1;379,0826116;15194686,13;526521;760846,7702;288423780,7;0,176129218;0,06626633;0,295159074;0;26,290001;-0,003342528;8415;-0,002825592
11.Feb.16;0,011870944;-0,00645875;-0,544080552;74375600;496667;1,44116E+11;0,075499712;1375500,956;11,52670547;1812667,993;24,4931668;1;377,6391651;15199486,13;526264;620560,2671;234347861,2;0,202470441;0,055749475;0,317372643;-0,000271217;28,139999;0,043567031;8508;-0,009749593
12.Feb.16;0,006529914;0,011964276;1,832225876;67042800;470121;1,44116E+11;0,07400403;1225055,539;10,26308547;1634308,801;27,5887759;1;382,2944565;15203761,13;484196;551085,0205;210676748,4;0,206152929;0,065198512;0,31822591;5,65488E-05;25,4;-0,007076829;8265;0,016970917
13.Feb.16;0,006270891;0,018596801;2,965575592;61911700;448353;1,44116E+11;0,073779592;1117594,527;9,360413725;1519433,887;30,25144375;1;389,5984325;15207661,13;471854;502708,6065;195854485,1;0,179221644;0,065551263;0,316110708;0;25,4;0;7304;0
